Full Title,Artist,Genre,Instrument,Year
Coldest Hearts,DRS,Hip-Hop / Rap / R&B,Drums,2015
Skat Strut (Hip Hop Remix),MC Skat Kat and the Stray Mob,Hip-Hop / Rap / R&B,Drums,1991
The Modern Bass Guitar,Squarepusher,Electronic / Dance,Drums,2006
Jackal,Kid Spatula,Electronic / Dance,Drums,2004
Killa Sound (Krome & Time Remix),Johnny Jungle,Electronic / Dance,Drums,1995
Thing Called Love (Funk You Up Extended Mix),The Boys,Hip-Hop / Rap / R&B,Multiple Elements,1990
No Way Out,D.A.M.N.,Hip-Hop / Rap / R&B,Drums,1991
I Like That (Shorty Remix),Stefy De Cicco,Electronic / Dance,Vocals / Lyrics,2017
I Like That (Shorty Remix),Stella Mwangi,Electronic / Dance,Vocals / Lyrics,2017
Murder Yuh Blood,Deadly D,Electronic / Dance,Multiple Elements,1995
On My Mind,G Jones,Electronic / Dance,Multiple Elements,2022
On My Mind,EPROM,Electronic / Dance,Multiple Elements,2022
Time Has No Time,Mod 222,Electronic / Dance,Vocals / Lyrics,1990
Impact,City Connection,Electronic / Dance,Drums,1996
Icey (She's Bad),Icey Jaye,Hip-Hop / Rap / R&B,Multiple Elements,1989
Murder,A-Sides,Electronic / Dance,Drums,1994
Celebrate Life,Nookie,Electronic / Dance,Drums,2008
The Look,Breakage,Electronic / Dance,Drums,2005
S.E.X.O.M.A.T.I.C.,K-Krush,Hip-Hop / Rap / R&B,Drums,1990
Press the Buzzer,Kemet Crew,Electronic / Dance,Drums,1995
Vos Y Yo (DJs Pareja Remix),Ibiza Pareo,Electronic / Dance,Multiple Elements,2019
The Party (This Is How We Do It) (Drumsound & Bassline Smith Remix),Joe Stone,Electronic / Dance,Multiple Elements,2015
Make Da Moov,Outlaw Posse,Hip-Hop / Rap / R&B,Drums,1990
Untitled,Hot Steppers,Electronic / Dance,Drums,1995
Do 2 Me,The Meditator,Electronic / Dance,Drums,2020
Do 2 Me,DJ Ink,Electronic / Dance,Drums,2020
Kaos Kage,Nova Cheq,Electronic / Dance,Drums,2022
Warp 1.9 (Otira Remix),The Bloody Beetroots,Electronic / Dance,Vocals / Lyrics,2019
Warp 1.9 (Otira Remix),Steve Aoki,Electronic / Dance,Vocals / Lyrics,2019
Gettin' Down,King Bee,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
Body Rock,MC J-Witt,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
Shut Up,Chase & Status,Electronic / Dance,Drums,2019
Shut Up,Suku,Electronic / Dance,Drums,2019
Fantasy,Circa96,Electronic / Dance,Drums,2020
Fade Away (Remix),Jacob Tillberg,Electronic / Dance,Drums,2015
Caramell Babylon,Izum1,Electronic / Dance,Drums,2022
Walking on Sunshine,Scotty Boy,Electronic / Dance,Drums,2019
Walking on Sunshine,Block & Crown,Electronic / Dance,Drums,2019
Dream Finder,Blame,Electronic / Dance,Drums,1995
Sbds,The Jaffa Kid,Electronic / Dance,Drums,2021
Shining Lights,Sunny Crimea,Electronic / Dance,Multiple Elements,2012
1985,Neil D. Voss,Soundtrack / Library,Multiple Elements,2004
Saigon,Trust (Drum & Bass),Electronic / Dance,Vocals / Lyrics,2005
Pierce County Gangster,Criminal Nation,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Macho,Far & Son,Hip-Hop / Rap / R&B,Multiple Elements,2014
Macho,Joy M'Batha,Hip-Hop / Rap / R&B,Multiple Elements,2014
Macho,Sandro Müntzing,Hip-Hop / Rap / R&B,Multiple Elements,2014
For the Night (Mandal & Forbes Remix),Luxx,Electronic / Dance,Vocals / Lyrics,2015
For the Night (Mandal & Forbes Remix),Rachel MW,Electronic / Dance,Vocals / Lyrics,2015
Cry (T Power Remix),Shy FX,Electronic / Dance,Drums,1995
Talk to Me,Sexmachine,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Turn Back Time (Special Request Remix),Sub Focus,Electronic / Dance,Drums,2013
January,Young Ax,Electronic / Dance,Vocals / Lyrics,2004
Automata,Trilogy (2),Electronic / Dance,Drums,2011
Surisuri Masuri,Cherrsee,Rock / Pop,Multiple Elements,2017
All Night,Maurice Tamraz,Electronic / Dance,Multiple Elements,2014
Show Me Love,Citadel of Kaos,Electronic / Dance,Drums,1995
Mystic Sister,Just Add Water,Electronic / Dance,Drums,1991
Hole in My Heart (Manhattan Clique Remix Edit),Alphabeat,Electronic / Dance,Drums,2010
We Want the Funk (Raw Dog Mix),Gerardo,Hip-Hop / Rap / R&B,Drums,1991
Ice Ice Baby (Funkymix),Vanilla Ice,Hip-Hop / Rap / R&B,Multiple Elements,1991
Future 2,Clouds,Electronic / Dance,Multiple Elements,2013
Skin Teeth,Noise Factory,Electronic / Dance,Vocals / Lyrics,1992
Solitaire,Sully,Electronic / Dance,Drums,2014
Dancin People (E Type Remix),QBass,Electronic / Dance,Drums,1991
Nobody,Smokin' Jack Hill,Electronic / Dance,Multiple Elements,2018
It Takes Two to Make a Thing Go Wrong,RAINBOW ★ STAR ★ 36,Electronic / Dance,Multiple Elements,2020
Pon Di Rock,Tropmanga,Electronic / Dance,Drums,2013
Peace,E.M.S. & the Posse,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
Dark Star,Formula 7,Electronic / Dance,Drums,1993
Future Now,Atomic Dog,Electronic / Dance,Multiple Elements,1995
1st Chapter in Dub,The Good 2 Bad and Hugly,Electronic / Dance,Drums,1993
Pump That Puzzy (Wicked XXX Shake That Titties Mix),The Original Gabber,Electronic / Dance,Vocals / Lyrics,2021
Ready Mngo,Joy Orbison,Electronic / Dance,Multiple Elements,2019
Ready Mngo,East Connection,Electronic / Dance,Multiple Elements,2019
How Freaky R U?,2nd Degree,Hip-Hop / Rap / R&B,Drums,1992
La Escuela,Ruben DJ,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Helios,Sully,Electronic / Dance,Drums,2015
Crystal Cuts,Sully,Electronic / Dance,Drums,2015
Fuck You Up!,Alec Empire,Electronic / Dance,Drums,1993
Fantasy,DJ Demo,Electronic / Dance,Drums,2018
Fantasy,Nikki,Electronic / Dance,Drums,2018
Alcanzarás La Luna (Batumix),Alazán,Rock / Pop,Vocals / Lyrics,2000
Here We Go (R U Ready),Casanovas Revenge,Electronic / Dance,Vocals / Lyrics,1989
Heavyweight Sound,MBK (Speedcore),Electronic / Dance,Drums,2017
Just Move,Lucky Date,Electronic / Dance,Vocals / Lyrics,2014
Without U,Stray (Drum & Bass),Electronic / Dance,Drums,2015
Geni (Of the Lamp Mix),Aladdin (Drum & Bass),Electronic / Dance,Drums,1994
Club Head,Wreckx-N-Effect,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
It's a New Sensation,Joyce (Italo Singer),Electronic / Dance,Multiple Elements,1990
Big Flap,Suprême NTM,Hip-Hop / Rap / R&B,Multiple Elements,1991
Blush,Glimji,Electronic / Dance,Vocals / Lyrics,2022
Blush,Elphi,Electronic / Dance,Vocals / Lyrics,2022
Show Biz,2 Deep,Hip-Hop / Rap / R&B,Hook / Riff,1990
Shadows,Wagon Christ,Electronic / Dance,Drums,2004
Get Down Boogie,Basement Freaks,Soul / Funk / Disco,Vocals / Lyrics,2011
The Michael Jackson Medley (Ultimix Megamix),Michael Jackson,Rock / Pop,Drums,2002
Dystopic,Tusken Raiders,Electronic / Dance,Drums,2020
Ding Dong,Try 'N' B,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Rub-A-Sub,Soul Intent (Drum N Bass),Electronic / Dance,Drums,2021
Seven Little Girls Sitting in the Back Seat,Bombalurina,Rock / Pop,Vocals / Lyrics,1990
Stand Bold,Universal Flava,Electronic / Dance,Drums,1996
Music Is the Key,Foul Play,Electronic / Dance,Drums,1994
Music Is the Key,Denise Gordon,Electronic / Dance,Drums,1994
Good Fucking Musiccccsccssczcsc,Linkrot Godzzzzzzz,Electronic / Dance,Drums,2022
Good Fucking Musiccccsccssczcsc,Funny Alias Here,Electronic / Dance,Drums,2022
My Rush Yours,The Genesis,Electronic / Dance,Multiple Elements,1991
Don't Go,Wickaman,Electronic / Dance,Drums,2012
Don't Go,J Majik,Electronic / Dance,Drums,2012
I Can't Stop,Jewel-T,Hip-Hop / Rap / R&B,Drums,1991
Shaniqua (Marley Marl Super Mix),"Oran ""Juice"" Jones",Hip-Hop / Rap / R&B,Drums,1990
Shaniqua (Marley Marl Super Mix),Big Daddy Kane,Hip-Hop / Rap / R&B,Drums,1990
Info Psycho,Jesus Jones,Rock / Pop,Drums,1989
African Love Affair,Ambience,Electronic / Dance,Vocals / Lyrics,1990
P.O. Tally Ho!,Scientists of Sound,Hip-Hop / Rap / R&B,Vocals / Lyrics,1996
Play With Me (Jane),Thompson Twins,Rock / Pop,Drums,1992
Yo' Son,Dope Skillz,Electronic / Dance,Multiple Elements,1995
Dubplate Murderer,Missing,Electronic / Dance,Drums,2020
Give It All You Got,Project One,Electronic / Dance,Drums,1992
Frozen Over,LSDXOXO,Electronic / Dance,Drums,2016
Frozen Over,Cakes Da Killa,Electronic / Dance,Drums,2016
SHINONOME,Deepest Pussy,Electronic / Dance,Drums,2022
SHINONOME,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2022
Jazz Moods,Mastermind,Electronic / Dance,Drums,1996
Let's Go,MC Luscious,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
Edge of the Earth,Mage,Electronic / Dance,Multiple Elements,2019
Roll the Drums,Rido (Drum & Bass),Electronic / Dance,Multiple Elements,2018
Watery Glass Planet Pt. 3,Luke Vibert,Electronic / Dance,Drums,2000
Watery Glass Planet Pt. 3,BJ Cole,Electronic / Dance,Drums,2000
So Damn Funky,Rhythm Mode:D,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Fragile,Igor K,Electronic / Dance,Drums,2021
Latoya Nine Seven,Scared Macwell,Hip-Hop / Rap / R&B,Vocals / Lyrics,1996
The Boy Don't Play,D-Boy Rodriguez,Hip-Hop / Rap / R&B,Hook / Riff,1990
Very Last Drop,Just Jungle,Electronic / Dance,Drums,1995
Putrid Mutant,Passenger of Shit,Electronic / Dance,Drums,2015
Amber Shores,The Flashbulb,Electronic / Dance,Drums,1999
If Lil Pump Rapped Renai Circulation,Izum1,Electronic / Dance,Drums,2022
Haliphax (Friend Reunited),Ceephax Acid Crew,Electronic / Dance,Drums,2017
Pony (Jump on It) (Sick Individuals Remix),Tough Love,Electronic / Dance,Drums,2015
Pony (Jump on It) (Sick Individuals Remix),Ginuwine,Electronic / Dance,Drums,2015
Apple Candy,Subscape,Electronic / Dance,Drums,2011
Run Tings,M-Beat,Electronic / Dance,Multiple Elements,2002
A2 (EP I),Bassbin Twins,Electronic / Dance,Vocals / Lyrics,1992
Space Junk,Teddy Killerz,Electronic / Dance,Multiple Elements,2015
"Hooked on Brown, Part 2 (Ready to Party Now)",James Brown,Soul / Funk / Disco,Multiple Elements,1996
Lollipop / Dulce Nada (Sweet Nothing),The Sacados,Rock / Pop,Drums,1991
Trellick,Mella Dee,Electronic / Dance,Drums,2015
Last Night a DJ Saved My Life,Cold Jam,Hip-Hop / Rap / R&B,Drums,1990
Last Night a DJ Saved My Life,Grace (2),Hip-Hop / Rap / R&B,Drums,1990
Come on People,Bizzy B,Electronic / Dance,Drums,1995
Come on People,Dexterous D,Electronic / Dance,Drums,1995
Tommy 2Fast,Samurai Breaks,Electronic / Dance,Drums,2019
Walk Like an Egyptian,Wilman De Jesus,Reggae / Dub,Vocals / Lyrics,2006
The Underground Culture,Ritmo Du Vela,Electronic / Dance,Multiple Elements,2019
Get Down,Codes,Electronic / Dance,Multiple Elements,2013
Spank-ed,YZ,Hip-Hop / Rap / R&B,Drums,1990
UNITED EMCEEZ -Enter the HEXAGON-,HYPNOSISMIC -D.R.B- (Division Leaders),Hip-Hop / Rap / R&B,Vocals / Lyrics,2022
Club Amour,DJ Ernan,Electronic / Dance,Multiple Elements,2019
Windmill Kick,Sam Binga,Electronic / Dance,Drums,2016
Windmill Kick,Om Unit,Electronic / Dance,Drums,2016
Drum & Chase,Paradox,Electronic / Dance,Drums,1999
Title Screen,Rob Stevens,Soundtrack / Library,Vocals / Lyrics,1993
Title Screen,Dimitri Yerasimos,Soundtrack / Library,Vocals / Lyrics,1993
Planet Rock (Bass in the Planet Mix),Afrika Bambaataa,Electronic / Dance,Multiple Elements,1992
Planet Rock (Bass in the Planet Mix),Soulsonic Force,Electronic / Dance,Multiple Elements,1992
Get Sorted,Zomby,Electronic / Dance,Drums,2008
Smoke Dis One,Bass Ballistics,Electronic / Dance,Multiple Elements,1992
Impossible,Numa Crew,Electronic / Dance,Drums,2015
Impossible,Robert Dallas,Electronic / Dance,Drums,2015
Mystery,From the Man Like the Pennywise,Electronic / Dance,Drums,1993
Master Peace,DJ Ham,Electronic / Dance,Drums,1995
Master Peace,DJ Poosie,Electronic / Dance,Drums,1995
She Taught Me How to Yodel,Bombalurina,Rock / Pop,Vocals / Lyrics,1990
Off the Chain,TT the Artist,Electronic / Dance,Drums,2018
Off the Chain,UNIIQU3,Electronic / Dance,Drums,2018
Paradise 25,Herb Alpert,Jazz / Blues,Multiple Elements,1991
Satisfaction (Rapitup),MC Juice,Soul / Funk / Disco,Multiple Elements,1990
Survival,Foul Play,Electronic / Dance,Drums,1992
Here We Go (The Rockin' in '91 Dub - the Cole/Clivilles House Mix),C+C Music Factory,Electronic / Dance,Drums,1991
Who Wah Kill Sound?,Kid606,Electronic / Dance,Drums,2003
Sound Boy in a Problem,The Underworld,Electronic / Dance,Multiple Elements,1994
Feel It,DJ Deller,Electronic / Dance,Vocals / Lyrics,1999
Flirting With Regrets,Armless Kid,Electronic / Dance,Multiple Elements,2019
Love and Marriage Rap,Shinehead,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
Take Me Up,Sunny (Breakbeat),Electronic / Dance,Drums,2020
Take Me Up,Deck Hussy,Electronic / Dance,Drums,2020
E.M.S. To the Rescue,E.M.S. & the Posse,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
'94 Abyss,Shitmat,Electronic / Dance,Drums,2007
Feel It,System X,Electronic / Dance,Drums,1994
Dark Zone,T.H.C,Electronic / Dance,Drums,1993
Bully Breaks 2 (Side A),DJ Craze,Hip-Hop / Rap / R&B,Multiple Elements,2003
Just Be Good to Me,RJ (Jungle Producer),Electronic / Dance,Drums,1993
A.I. (The Last Ronin Remix),Foul Play,Electronic / Dance,Drums,2020
Super Baller,LL Cool J,Hip-Hop / Rap / R&B,Multiple Elements,2012
Snowflakes,Muffler,Electronic / Dance,Drums,2015
Aquaquest Pt.2 (The Anticlimax),OCB,Electronic / Dance,Drums,2018
Female Preacher,Overweight Pooch,Electronic / Dance,Multiple Elements,1991
Female Preacher,CeCe Peniston,Electronic / Dance,Multiple Elements,1991
The Bump,Wee Papa Girl Rappers,Hip-Hop / Rap / R&B,Drums,1990
Drop That Bottom (Miami Drop Mix),Nemesis,Hip-Hop / Rap / R&B,Multiple Elements,1995
Dangerous,DJ Ruffkutt,Electronic / Dance,Drums,1993
Funk-da-Fried Party,The DJ's Project,Electronic / Dance,Drums,1995
Guncheck,Ed Rush,Electronic / Dance,Drums,1995
Bad Man Tune,Chatter B,Electronic / Dance,Drums,1995
Shake That Thang,Robbie B,Hip-Hop / Rap / R&B,Drums,1990
I Want U,Comfort Zone,Electronic / Dance,Drums,2018
I Will Never Turn Away,Coco Bryce,Electronic / Dance,Drums,2021
Knowledge of a Black Man,The Fila Fresh Crew,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Exuberant Gambit,Cosmin TRG,Electronic / Dance,Drums,2019
The House Is Surrounded (Jon the Dentist Remix),Lectrolux,Electronic / Dance,Multiple Elements,1996
Gang Related,Swift,Electronic / Dance,Drums,1995
Samba Pa Ti (Down Beat Mix),Cusato,Rock / Pop,Multiple Elements,1991
You Can Swing It,Sheena Easton,Hip-Hop / Rap / R&B,Multiple Elements,1991
Crawfish,The Reggae Philharmonic Orchestra,Rock / Pop,Drums,1990
Jupiter Ascent,Ital Tek,Electronic / Dance,Multiple Elements,2013
Stomp and Grind,Kilo,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
K.W.,Orson Wells,Electronic / Dance,Drums,2015
Soundboy,DJ Gunshot,Electronic / Dance,Drums,1995
Listen Dis,Deadly D,Electronic / Dance,Multiple Elements,1995
Negative Sound (Distortion),Loffciamcore,Electronic / Dance,Drums,2018
Gaderffi Stick,Tusken Raiders,Electronic / Dance,Drums,1995
State of Accommodation: Why Aren't You Angry,Sister Souljah,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
State of Accommodation: Why Aren't You Angry,Chuck D,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Encore DX,Canblaster,Electronic / Dance,Drums,2015
Lost Entity (Remix),DJ Trace,Electronic / Dance,Drums,1995
Dead Man Walking,Visionary,Electronic / Dance,Drums,2007
Everybody (Remix) 90,Criminal Element Orchestra,Electronic / Dance,Drums,1990
Into Da Future (Massive Mix),The Undergraduates,Electronic / Dance,Drums,1993
Let Yourself Go,2 Kilos ?,Electronic / Dance,Vocals / Lyrics,1990
Legalize It,Isaac Maya,Electronic / Dance,Drums,2010
Revolution,Rebel MC,Electronic / Dance,Multiple Elements,1992
If I Could Say I Love You,DJ Sailor Moon,Electronic / Dance,Drums,2014
Letm3bewithyuuuu,B!oxxy,Electronic / Dance,Drums,2022
Moody Runt,Digital,Electronic / Dance,Drums,2016
Who Dares Wins,Derek B,Hip-Hop / Rap / R&B,Drums,1990
Welcome 2 Steel City,Boaz,Hip-Hop / Rap / R&B,Vocals / Lyrics,2014
Read My Lips,INNA,Electronic / Dance,Vocals / Lyrics,2020
Read My Lips,Farina,Electronic / Dance,Vocals / Lyrics,2020
Ecstasy Motherfucker,Kid606,Electronic / Dance,Vocals / Lyrics,2003
Times Up,Kool Moe Dee,Hip-Hop / Rap / R&B,Multiple Elements,1991
Pressure,Amen Andrews,Electronic / Dance,Multiple Elements,2020
Breakdown,Luke,Hip-Hop / Rap / R&B,Drums,1992
Quincy,Utah Jazz,Electronic / Dance,Multiple Elements,2010
Ya'll Don't Hear Me Dough,Kam,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Thoughtless,Calibre,Electronic / Dance,Drums,2007
Latin Nights,Deuce Mob,Hip-Hop / Rap / R&B,Multiple Elements,1996
Latin Nights,A.W.B.,Hip-Hop / Rap / R&B,Multiple Elements,1996
Latin Nights,Mister V-Lo,Hip-Hop / Rap / R&B,Multiple Elements,1996
Conversations,Just Jungle,Electronic / Dance,Drums,1995
Galaxy,RetroVision,Electronic / Dance,Multiple Elements,2018
2058,Daniel Andréasson,Electronic / Dance,Drums,2016
Groove Research,Blame,Electronic / Dance,Drums,1995
Scissor Work,Lurob,Electronic / Dance,Drums,2016
Want My Love (TastyTreat & BLACK Monday Remix),Cathedrals,Electronic / Dance,Multiple Elements,2015
Sent From Above,Marten Hørger,Electronic / Dance,Multiple Elements,2023
Sent From Above,LittGloss,Electronic / Dance,Multiple Elements,2023
Sent From Above,Loud Tiger,Electronic / Dance,Multiple Elements,2023
Air Raid,Drvg Cvltvre,Electronic / Dance,Drums,2017
Oh Yeah (Johnny Jungle Remix),Fallen Angels,Electronic / Dance,Drums,1994
New York New York (Ragga Hip Hop Mix),Doctor K,Hip-Hop / Rap / R&B,Drums,1989
New York New York (Ragga Hip Hop Mix),DJ Daddy,Hip-Hop / Rap / R&B,Drums,1989
No Hand Outs,Tha Alkaholiks,Hip-Hop / Rap / R&B,Vocals / Lyrics,1995
No Hand Outs,Xzibit,Hip-Hop / Rap / R&B,Vocals / Lyrics,1995
No Hand Outs,Phil Da Agony,Hip-Hop / Rap / R&B,Vocals / Lyrics,1995
No Hand Outs,Snagglepuss,Hip-Hop / Rap / R&B,Vocals / Lyrics,1995
Softest Place on Earth,Craig Smart,Rock / Pop,Multiple Elements,2013
Susanne Rap,Hype (2),Rock / Pop,Vocals / Lyrics,1991
Susanne Rap,G. Daddy,Rock / Pop,Vocals / Lyrics,1991
Fallin' (Adrenaline) (GOLDHOUSE Remix),Why Don't We,Electronic / Dance,Vocals / Lyrics,2020
I'm a Do What I Like,IBM Nation,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
Skatta,J:Kenzo,Electronic / Dance,Multiple Elements,2016
Сделай Мне Sex,Клементия,Rock / Pop,Vocals / Lyrics,1995
Nu Birth of Cool (Rogue Unit Remix),Omni Trio,Electronic / Dance,Drums,1996
U Go Girl,Tag Team,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Give It to Them,Storm Syndicut,Electronic / Dance,Drums,1995
Horizon,Tessela,Electronic / Dance,Drums,2013
Better Day (Happy Mix),"Billy ""Daniel"" Bunter",Electronic / Dance,Vocals / Lyrics,1996
Better Day (Happy Mix),D-Zyne,Electronic / Dance,Vocals / Lyrics,1996
Better Day (Happy Mix),Rob Vanden,Electronic / Dance,Vocals / Lyrics,1996
Better Day (Happy Mix),Joanne Robinson,Electronic / Dance,Vocals / Lyrics,1996
Movado,Basic Operations,Electronic / Dance,Drums,2005
I Heard Um Say,Jermaine Dupri,Hip-Hop / Rap / R&B,Drums,2010
Sweet Shop (Friction vs Camo & Krooked Drum and Bass Mix),Doctor P,Electronic / Dance,Drums,2010
Come Into My World,Baby D,Electronic / Dance,Drums,1996
Let Yourself Go !,DJ Ham,Electronic / Dance,Multiple Elements,1995
Out of Time,Mall Grab,Electronic / Dance,Drums,2017
Yikes!,London Elektricity,Electronic / Dance,Multiple Elements,2011
Element,B Key,Electronic / Dance,Drums,2001
On the Ragga Tip,E-Lustrious,Electronic / Dance,Multiple Elements,1992
On the Ragga Tip,Shine (2),Electronic / Dance,Multiple Elements,1992
For You,Tennyson,Electronic / Dance,Vocals / Lyrics,2014
Blacknotes,Mastermind,Electronic / Dance,Multiple Elements,1996
Get Rushed,DJ Rap,Electronic / Dance,Drums,1994
Get Rushed,Aston,Electronic / Dance,Drums,1994
Heliacal Torch,Squarepusher,Electronic / Dance,Drums,2009
Tales of Darkness (Mix 3),Sky Joose,Electronic / Dance,Drums,1995
Zigzawya,The Dubster,Electronic / Dance,Multiple Elements,1994
Sultry Steel,GoldFFinch,Electronic / Dance,Drums,2013
Gold Coast (Surfer's Paradise Mix),András,Electronic / Dance,Drums,2016
The Rider,L Double,Electronic / Dance,Vocals / Lyrics,1996
Slammin' Ragga Bootleg Track,Kid606,Electronic / Dance,Drums,2004
Owner of a Broken Heart,Double T & the Downtown Posse,Hip-Hop / Rap / R&B,Multiple Elements,1989
Don't Stop My Love (2),Trinere,Electronic / Dance,Vocals / Lyrics,1990
Get Up and Dance (The Smooth Radio Version),J.M.D.,Electronic / Dance,Drums,1990
Get Up and Dance (The Smooth Radio Version),Linda Rice,Electronic / Dance,Drums,1990
Give Me What I Want,Eat Life,Electronic / Dance,Multiple Elements,1992
Anyway You Choose to Give It (Playgroup Remix),The Black Ghosts,Electronic / Dance,Drums,2007
My Rush Chords,MNLTH,Electronic / Dance,Drums,2015
Ease Up,μ-Ziq,Electronic / Dance,Drums,2005
As We Enter,Just Jungle,Electronic / Dance,Drums,1994
Flight 78,Plug,Electronic / Dance,Drums,2012
Cockney Rhythm (Remix),Rebel MC,Hip-Hop / Rap / R&B,Multiple Elements,1990
God's Plan,FREEKILL,Electronic / Dance,Drums,2018
God's Plan,Grizzy,Electronic / Dance,Drums,2018
Got a Thing,Calibre,Electronic / Dance,Drums,2005
The Crown,Daddy Freddy,Electronic / Dance,Vocals / Lyrics,1990
Borderwalk,Maruwa,Electronic / Dance,Drums,2019
Sax Life,Ministry of Funk,Electronic / Dance,Vocals / Lyrics,2011
Can You Feel It (Remix),Rhythm Mode:D,Hip-Hop / Rap / R&B,Drums,1989
Depend on Myself,TLC,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Binedump,The Flashbulb,Electronic / Dance,Drums,2005
Wolfie Pack,Social Club,Hip-Hop / Rap / R&B,Vocals / Lyrics,2013
Wolfie Pack,Anthony Rose,Hip-Hop / Rap / R&B,Vocals / Lyrics,2013
Here We Go Again,MC Sergio,Hip-Hop / Rap / R&B,Drums,1989
Music Is Moving,Edit V,Electronic / Dance,Drums,1996
Pump Up the Bass,MC's of Rap,Hip-Hop / Rap / R&B,Multiple Elements,1990
Better Days,DJ Seduction,Electronic / Dance,Multiple Elements,1994
District Line II,Squarepusher,Electronic / Dance,Drums,2004
Mind Song,Tomas,Electronic / Dance,Drums,1991
Wanderer,Illuvia,Electronic / Dance,Drums,2021
The Essence,Andrés,Hip-Hop / Rap / R&B,Multiple Elements,2009
.44 Mag,DJ Phantasy,Electronic / Dance,Multiple Elements,1995
Worst Enemy (Deadboy Remix),Toddla T Sound,Electronic / Dance,Drums,2013
I Won't Let You Down,Two Boys,Electronic / Dance,Drums,1992
Let's Dance (Hip Hop Mix),Sweet Tee,Hip-Hop / Rap / R&B,Multiple Elements,1989
On the Down Low,Freaky Flow,Electronic / Dance,Drums,1997
On the Down Low,P. J.,Electronic / Dance,Drums,1997
It Ain't Over,A.T.C. (3),Electronic / Dance,Drums,1990
There Ain't No Stoppin' This,Moses P.,Hip-Hop / Rap / R&B,Multiple Elements,1989
So Vain,Breakage,Electronic / Dance,Drums,2003
Feels Good,JAGGS,Electronic / Dance,Multiple Elements,2016
Just for You,Mirage (Drum & Bass),Electronic / Dance,Drums,1996
Sex Machine (Get Up I Feel Like Being Like a Sex Machine),Tony Sweat,Electronic / Dance,Multiple Elements,2000
Isotoxal,Paradox,Electronic / Dance,Drums,2012
Amen HQ,Amen Andrews,Electronic / Dance,Multiple Elements,2014
Sad Lolis Preferes Yuri,DJ Sailor Moon,Electronic / Dance,Multiple Elements,2013
We Got the Sound,Zomby,Electronic / Dance,Drums,2008
Feel Fine,Tune Up!,Electronic / Dance,Drums,2010
Out the Trunk,Fashawn,Hip-Hop / Rap / R&B,Vocals / Lyrics,2015
S. Jam,C.K,Electronic / Dance,Drums,2015
Here's a Party Jam (Club Mix),High Performance,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
(Real),Ice-T,Hip-Hop / Rap / R&B,Vocals / Lyrics,1996
Renegade,Steff Da Campo,Electronic / Dance,Vocals / Lyrics,2019
Renegade,SMACK (Electronic Duo),Electronic / Dance,Vocals / Lyrics,2019
You Can't Hang,"Eddie ""D""",Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
The Track B4 the Last One,ProducerTrentTaylor,Hip-Hop / Rap / R&B,Multiple Elements,2016
2 the Rhythm,SoundFactory,Electronic / Dance,Drums,1993
Dig Deeper,The Sentinel,Electronic / Dance,Drums,1995
Move (Hip House Mix),Ruben Gomez,Electronic / Dance,Drums,1990
A1,Environ.,Electronic / Dance,Drums,2016
Anomie,Disparition,Other,Multiple Elements,2011
Leisure Techno,AQXDM,Electronic / Dance,Drums,2019
Dubrock,Alix Perez,Electronic / Dance,Drums,2008
Zero-G,Bustre,Electronic / Dance,Multiple Elements,2012
Takin' It No More,Sharaya J,Hip-Hop / Rap / R&B,Drums,2014
F.I.U. Jay,Javier & the Str8jackers,Hip-Hop / Rap / R&B,Multiple Elements,1991
We Call Him D.J. Devastate,Demon Boyz,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Seraphims,Princess Nokia,Hip-Hop / Rap / R&B,Multiple Elements,2014
Ruff Revival,Run Tings,Electronic / Dance,Drums,1994
De Uitverkoop,Osdorp Posse,Hip-Hop / Rap / R&B,Drums,1992
Rock the House,The Chill Deal Boyz,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Blue Skies,Doc Scott,Electronic / Dance,Drums,1995
Forever Young (Bass Selective Remix),Southern Fried Kickin',Electronic / Dance,Drums,1993
